year,CN：CO2 Productivity：Production Based CO2 Emissions,CN：CO2 Productivity：Demand Based CO2 Emissions
区域,中国,中国
次国家,,
频率,"年, 年终12月","年, 年终12月"
单位,百万吨,百万吨
数据来源,Organisation for Economic Co-operation and Development,Organisation for Economic Co-operation and Development
状态,继续,继续
数列ID,496834897,496888247
SR码,SR174256357,SR174256407
Trade Code,,
助记符,,
函数说明,,
首次观测日期,1990,1995
最后观测日期,2019,2018
最后更新时间,19/09/2022,19/09/2022
数列备注,,
您可以,,
平均,5583.318109999998,5293.660125
方差,8185316.297310168,5754097.074488635
标准差,2860.999178138674,2398.769908617464
偏度,0.25046980061871704,0.2542286588561185
峰度,-1.6727403989566028,-1.645835716186211
变异系数,0.5124191603939748,0.45314014348767123
最小,2088.8542,2577.975
最大,9876.4958,9020.349
中位数,5073.49245,4831.943499999999
参照期间,30,24
1990,2088.8542,
1991,2200.8852,
1992,2295.7753,
1993,2500.7299,
1994,2599.5029,
1995,2900.265,2613.612
1996,2871.9807,2577.975
1997,2925.7487,2605.995
1998,3020.7167,2680.413
1999,2920.8968,2639.205
2000,3097.3552,2745.965
2001,3253.4643,2924.406
2002,3508.9391,3131.176
2003,4065.4957,3482.719
2004,4739.5875,3870.543
2005,5407.3974,4233.499
2006,5961.7964,4600.924
2007,6473.2597,5062.963
2008,6668.971,5323.932
2009,7130.927,6125.748
2010,7830.589,6629.368
2011,8569.0307,7422.102
2012,8823.3744,7682.469
2013,9232.6587,8156.557
2014,9224.0864,8231.091
2015,9135.1704,8322.063
2016,9127.9445,8406.524
2017,9334.8598,8558.245
2018,9712.7849,9020.349
2019,9876.4958,
